source,group,item_level,refine_level,cost_type,bonus,random_bonus,blacksmith_blessing_amount,rate_10000,rate_percent,zeny,material,breaking_rate_10000,downgrade_amount
base,Shadow_Weapon,1,6,Normal,0,0,0,2500,25.00,7500,Bradium,0,1
base,Shadow_Weapon,1,7,HD,0,0,0,1500,15.00,20000,HD_Bradium,0,0
base,Shadow_Weapon,1,7,Normal,0,0,0,1500,15.00,10000,Bradium,0,1
base,Shadow_Weapon,1,8,HD,0,0,0,1000,10.00,30000,HD_Bradium,0,0
base,Shadow_Weapon,1,8,Normal,0,0,0,1000,10.00,15000,Bradium,0,1
base,Shadow_Weapon,1,9,HD,0,0,0,500,5.00,40000,HD_Bradium,0,0
base,Shadow_Weapon,1,9,Normal,0,0,0,500,5.00,20000,Bradium,0,1
base,Shadow_Weapon,1,10,Normal,0,0,0,100,1.00,50000,HD_Bradium,0,1
base,Weapon,1,1,HD,50,0,0,10000,100.00,50,HD_Oridecon,0,0
base,Weapon,1,1,Normal,50,0,0,9000,90.00,25,Oridecon,0,0
base,Weapon,1,2,HD,100,0,0,8500,85.00,100,HD_Oridecon,0,0
base,Weapon,1,2,Normal,100,0,0,8500,85.00,50,Oridecon,0,1
base,Weapon,1,3,HD,150,0,0,8000,80.00,300,HD_Oridecon,0,0
base,Weapon,1,3,Normal,150,0,0,8000,80.00,150,Oridecon,0,1
base,Weapon,1,4,HD,200,0,0,7500,75.00,600,Enriched_Oridecon,0,0
base,Weapon,1,4,Normal,200,0,0,7500,75.00,300,HD_Oridecon,0,1
base,Weapon,1,5,HD,250,0,0,7000,70.00,900,Enriched_Oridecon,0,0
base,Weapon,1,5,Normal,250,0,0,7000,70.00,450,HD_Oridecon,0,1
base,Weapon,1,6,HD,300,0,0,6500,65.00,1200,Enriched_Oridecon,0,0
base,Weapon,1,6,Normal,300,0,0,6500,65.00,600,HD_Oridecon,0,1
base,Weapon,1,7,HD,350,0,0,6000,60.00,2000,Jewel_Oridecon,0,0
base,Weapon,1,7,Normal,350,0,0,6000,60.00,1000,Enriched_Oridecon,0,1
base,Weapon,1,8,HD,400,0,0,5500,55.00,2500,Jewel_Oridecon,0,0
base,Weapon,1,8,Normal,400,0,0,5500,55.00,1750,Enriched_Oridecon,0,1
base,Weapon,1,9,HD,450,0,0,5000,50.00,5000,Jewel_Oridecon,0,0
base,Weapon,1,9,Normal,450,0,0,5000,50.00,2500,Enriched_Oridecon,0,1
base,Weapon,1,10,Normal,500,0,0,2500,25.00,10000,Jewel_Oridecon,0,1
base,Weapon,2,1,HD,100,0,0,10000,100.00,200,HD_Oridecon,0,0
base,Weapon,2,1,Normal,100,0,0,8500,85.00,100,Oridecon,0,0
base,Weapon,2,2,HD,200,0,0,7800,78.00,400,HD_Oridecon,0,0
base,Weapon,2,2,Normal,200,0,0,7800,78.00,200,Oridecon,0,1
base,Weapon,2,3,HD,300,0,0,7100,71.00,600,HD_Oridecon,0,0
base,Weapon,2,3,Normal,300,0,0,7100,71.00,300,Oridecon,0,1
base,Weapon,2,4,HD,400,0,0,6400,64.00,1000,Enriched_Oridecon,0,0
base,Weapon,2,4,Normal,400,0,0,6400,64.00,500,HD_Oridecon,0,1
base,Weapon,2,5,HD,500,0,0,5700,57.00,1500,Enriched_Oridecon,0,0
base,Weapon,2,5,Normal,500,0,0,5700,57.00,750,HD_Oridecon,0,1
base,Weapon,2,6,HD,600,0,0,5000,50.00,2000,Enriched_Oridecon,0,0
base,Weapon,2,6,Normal,600,0,0,5000,50.00,1000,HD_Oridecon,0,1
base,Weapon,2,7,HD,700,0,0,4300,43.00,4000,Jewel_Oridecon,0,0
base,Weapon,2,7,Normal,700,0,0,4300,43.00,2000,Enriched_Oridecon,0,1
base,Weapon,2,8,HD,800,0,0,3600,36.00,6000,Jewel_Oridecon,0,0
base,Weapon,2,8,Normal,800,0,0,3600,36.00,3000,Enriched_Oridecon,0,1
base,Weapon,2,9,HD,900,0,0,2900,29.00,8000,Jewel_Oridecon,0,0
base,Weapon,2,9,Normal,900,0,0,2900,29.00,4000,Enriched_Oridecon,0,1
base,Weapon,2,10,Normal,1000,0,0,2200,22.00,16000,Jewel_Oridecon,0,1
base,Weapon,3,1,HD,150,0,0,10000,100.00,400,HD_Oridecon,0,0
base,Weapon,3,1,Normal,150,0,0,8000,80.00,200,Oridecon,0,0
base,Weapon,3,2,HD,300,0,0,7000,70.00,800,HD_Oridecon,0,0
base,Weapon,3,2,Normal,300,0,0,7000,70.00,400,Oridecon,0,1
base,Weapon,3,3,HD,450,0,0,6000,60.00,1200,HD_Oridecon,0,0
base,Weapon,3,3,Normal,450,0,0,6000,60.00,600,Oridecon,0,1
base,Weapon,3,4,HD,600,0,0,5000,50.00,2000,Enriched_Oridecon,0,0
base,Weapon,3,4,Normal,600,0,0,5000,50.00,1000,HD_Oridecon,0,1
base,Weapon,3,5,HD,750,0,0,4000,40.00,2800,Enriched_Oridecon,0,0
base,Weapon,3,5,Normal,750,0,0,4000,40.00,1400,HD_Oridecon,0,1
base,Weapon,3,6,HD,900,0,0,3000,30.00,3600,Enriched_Oridecon,0,0
base,Weapon,3,6,Normal,900,0,0,3000,30.00,1800,HD_Oridecon,0,1
base,Weapon,3,7,HD,1050,0,0,2500,25.00,5000,Jewel_Oridecon,0,0
base,Weapon,3,7,Normal,1050,0,0,2500,25.00,2500,Enriched_Oridecon,0,1
base,Weapon,3,8,HD,1200,0,0,2000,20.00,8000,Jewel_Oridecon,0,0
base,Weapon,3,8,Normal,1200,0,0,2000,20.00,4000,Enriched_Oridecon,0,1
base,Weapon,3,9,HD,1350,0,0,1500,15.00,11000,Jewel_Oridecon,0,0
base,Weapon,3,9,Normal,1350,0,0,1500,15.00,5500,Enriched_Oridecon,0,1
base,Weapon,3,10,Normal,1500,0,0,1000,10.00,22000,Jewel_Oridecon,0,1
base,Weapon,4,1,HD,200,0,0,10000,100.00,1000,HD_Oridecon,0,0
base,Weapon,4,1,Normal,200,0,0,7500,75.00,500,Oridecon,0,0
base,Weapon,4,2,HD,400,0,0,6500,65.00,1000,HD_Oridecon,0,0
base,Weapon,4,2,Normal,400,0,0,6500,65.00,1000,Oridecon,0,1
base,Weapon,4,3,HD,600,0,0,5500,55.00,3000,HD_Oridecon,0,0
base,Weapon,4,3,Normal,600,0,0,5500,55.00,1500,Oridecon,0,1
base,Weapon,4,4,HD,800,0,0,4500,45.00,6000,Enriched_Oridecon,0,0
base,Weapon,4,4,Normal,800,0,0,4500,45.00,3000,HD_Oridecon,0,1
base,Weapon,4,5,HD,1000,0,0,3500,35.00,9000,Enriched_Oridecon,0,0
base,Weapon,4,5,Normal,1000,0,0,3500,35.00,4500,HD_Oridecon,0,1
base,Weapon,4,6,HD,1200,0,0,2500,25.00,12000,Enriched_Oridecon,0,0
base,Weapon,4,6,Normal,1200,0,0,2500,25.00,6000,HD_Oridecon,0,1
base,Weapon,4,7,HD,1400,0,0,2000,20.00,20000,Jewel_Oridecon,0,0
base,Weapon,4,7,Normal,1400,0,0,2000,20.00,10000,Enriched_Oridecon,0,1
base,Weapon,4,8,HD,1600,0,0,1500,15.00,30000,Jewel_Oridecon,0,0
base,Weapon,4,8,Normal,1600,0,0,1500,15.00,15000,Enriched_Oridecon,0,1
base,Weapon,4,9,HD,1800,0,0,1000,10.00,40000,Jewel_Oridecon,0,0
base,Weapon,4,9,Normal,1800,0,0,1000,10.00,20000,Enriched_Oridecon,0,1
base,Weapon,4,10,Normal,2000,0,0,500,5.00,100000,Jewel_Oridecon,0,1
